ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
PAAL,small_airport,Port Moller Airport,56.00600052,-160.5610046,20,NA,US,US-AK,Cold Bay,PAAL,PML,1AK3
PAAP,seaplane_base,Port Alexander Seaplane Base,56.24679947,-134.647995,,NA,US,US-AK,Port Alexander,PAAP,PTD,AHP
PAAQ,medium_airport,Palmer Municipal Airport,61.59489822,-149.0890045,242,NA,US,US-AK,Palmer,PAAQ,PAQ,PAQ
PAAT,closed,Casco Cove Coast Guard Station,52.82839966,173.1799927,40,NA,US,US-AK,Attu,PAAT,ATU,ATU
PABA,medium_airport,Barter Island LRRS Airport,70.13400269,-143.5820007,2,NA,US,US-AK,Barter Island Lrrs,PABA,BTI,BTI
PABE,medium_airport,Bethel Airport,60.77980042,-161.8379974,126,NA,US,US-AK,Bethel,PABE,BET,BET
PABG,small_airport,Beluga Airport,61.17219925,-151.0440063,130,NA,US,US-AK,Beluga,PABG,BVU,BLG
PABI,medium_airport,Allen Army Airfield,63.99449921,-145.7220001,1291,NA,US,US-AK,Delta Junction Ft Greely,PABI,BIG,BIG
PABL,medium_airport,Buckland Airport,65.9815979,-161.1490021,31,NA,US,US-AK,Buckland,PABL,BKC,BVK
PABM,small_airport,Big Mountain Airport,59.36119843,-155.2590027,663,NA,US,US-AK,Big Mountain,PABM,BMX,37AK
PABR,medium_airport,Wiley Post Will Rogers Memorial Airport,71.28540039,-156.7660065,44,NA,US,US-AK,Barrow,PABR,BRW,BRW
PABT,medium_airport,Bettles Airport,66.91390228,-151.529007,647,NA,US,US-AK,Bettles,PABT,BTT,BTT
PACD,medium_airport,Cold Bay Airport,55.20610046,-162.7250061,96,NA,US,US-AK,Cold Bay,PACD,CDB,CDB
PACE,small_airport,Central Airport,65.57379913,-144.7830048,937,NA,US,US-AK,Central,PACE,CEM,CEM
PACI,small_airport,Chalkyitsik Airport,66.64499664,-143.7400055,544,NA,US,US-AK,Chalkyitsik,PACI,CIK,CIK
PACK,small_airport,Chefornak Airport,60.14920044,-164.2859955,40,NA,US,US-AK,Chefornak,PACK,CYF,CFK
PACM,medium_airport,Scammon Bay Airport,61.84529877,-165.5709991,14,NA,US,US-AK,Scammon Bay,PACM,SCM,SCM
PACR,small_airport,Circle City /New/ Airport,65.83049774,-144.076004,613,NA,US,US-AK,Circle,PACR,IRC,CRC
PACV,medium_airport,Merle K (Mudhole) Smith Airport,60.4917984,-145.4779968,54,NA,US,US-AK,Cordova,PACV,CDV,CDV
PACX,small_airport,Coldfoot Airport,67.25219727,-150.2039948,1042,NA,US,US-AK,Coldfoot,PACX,CXF,CXF
PACY,small_airport,Yakataga Airport,60.08200073,-142.4929962,12,NA,US,US-AK,Yakataga,PACY,CYT,CYT
PACZ,medium_airport,Cape Romanzof LRRS Airport,61.78030014,-166.0390015,464,NA,US,US-AK,Cape Romanzof,PACZ,CZF,CZF
PADE,medium_airport,Deering Airport,66.06960297,-162.7660065,21,NA,US,US-AK,Deering,PADE,DRG,DEE
PADG,small_airport,Red Dog Airport,68.03209686,-162.8990021,969,NA,US,US-AK,Red Dog,PADG,RDB,DGG
PADK,medium_airport,Adak Airport,51.87799835,-176.6459961,18,NA,US,US-AK,Adak Island,PADK,ADK,ADK
PADL,medium_airport,Dillingham Airport,59.04470062,-158.5050049,81,NA,US,US-AK,Dillingham,PADL,DLG,DLG
PADQ,medium_airport,Kodiak Airport,57.75,-152.4940033,78,NA,US,US-AK,Kodiak,PADQ,ADQ,ADQ
PADU,medium_airport,Unalaska Airport,53.90010071,-166.5440063,22,NA,US,US-AK,Unalaska,PADU,DUT,DUT
PADY,small_airport,Kongiganak Airport,59.96080017,-162.8809967,30,NA,US,US-AK,Kongiganak,PADY,KKH,DUY
PAED,medium_airport,Elmendorf Air Force Base,61.25099945,-149.8070068,212,NA,US,US-AK,Anchorage,PAED,EDF,EDF
PAEE,small_airport,Eek Airport,60.21367264,-162.0438843,12,NA,US,US-AK,Eek,PAEE,EEK,EEK
PAEG,small_airport,Eagle Airport,64.77639771,-141.151001,908,NA,US,US-AK,Eagle,PAEG,EAA,EAA
PAEH,medium_airport,Cape Newenham LRRS Airport,58.64640045,-162.0630035,541,NA,US,US-AK,Cape Newenham,PAEH,EHM,EHM
PAEI,medium_airport,Eielson Air Force Base,64.66570282,-147.102005,547,NA,US,US-AK,Fairbanks,PAEI,EIL,EIL
PAEL,seaplane_base,Elfin Cove Seaplane Base,58.19520187,-136.3470001,0,NA,US,US-AK,Elfin Cove,PAEL,ELV,ELV
PAEM,medium_airport,Emmonak Airport,62.78609848,-164.4909973,13,NA,US,US-AK,Emmonak,PAEM,EMK,ENM
PAEN,medium_airport,Kenai Municipal Airport,60.57310104,-151.2449951,99,NA,US,US-AK,Kenai,PAEN,ENA,ENA
PAFA,large_airport,Fairbanks International Airport,64.81510162,-147.8560028,439,NA,US,US-AK,Fairbanks,PAFA,FAI,FAI
PAFB,medium_airport,Ladd AAF Airfield,64.83750153,-147.6139984,454,NA,US,US-AK,Fairbanks/Ft Wainwright,PAFB,FBK,FBK
PAFM,medium_airport,Ambler Airport,67.10630035,-157.8569946,334,NA,US,US-AK,Ambler,PAFM,ABL,AFM
PAFR,heliport,Bryant Army Heliport,61.26639938,-149.6529999,378,NA,US,US-AK,Fort Richardson(Anchorage),PAFR,FRN,FRN
PAFV,small_airport,Five Mile Airport,65.92700195,-149.8399963,510,NA,US,US-AK,Five Mile,PAFV,FMC,FVM
PAFW,small_airport,Farewell Airport,62.50659943,-153.8939972,1535,NA,US,US-AK,Farewell,PAFW,FWL,FWL
PAGA,medium_airport,Edward G. Pitka Sr Airport,64.73619843,-156.9369965,153,NA,US,US-AK,Galena,PAGA,GAL,GAL
PAGB,small_airport,Galbraith Lake Airport,68.47969818,-149.4900055,2663,NA,US,US-AK,Galbraith Lake,PAGB,GBH,GBH
PAGK,medium_airport,Gulkana Airport,62.1548996,-145.4570007,1586,NA,US,US-AK,Gulkana,PAGK,GKN,GKN
PAGL,small_airport,Golovin Airport,64.55049896,-163.0070038,59,NA,US,US-AK,Golovin,PAGL,GLV,GLV
PAGM,medium_airport,Gambell Airport,63.76679993,-171.7330017,27,NA,US,US-AK,Gambell,PAGM,GAM,GAM
PAGN,seaplane_base,Angoon Seaplane Base,57.50360107,-134.5850067,,NA,US,US-AK,Angoon,PAGN,AGN,AGN
PAGQ,small_airport,Big Lake Airport,61.53609848,-149.8139954,158,NA,US,US-AK,Big Lake,PAGQ,BGQ,BGQ
PAGS,medium_airport,Gustavus Airport,58.4253006,-135.7070007,35,NA,US,US-AK,Gustavus,PAGS,GST,GST
PAGY,small_airport,Skagway Airport,59.46009827,-135.3159943,44,NA,US,US-AK,Skagway,PAGY,SGY,SGY
PAHC,medium_airport,Holy Cross Airport,62.18830109,-159.7749939,70,NA,US,US-AK,Holy Cross,PAHC,HCR,HCA
PAHL,medium_airport,Huslia Airport,65.69789886,-156.3509979,220,NA,US,US-AK,Huslia,PAHL,HSL,HLA
PAHN,medium_airport,Haines Airport,59.24380112,-135.5240021,15,NA,US,US-AK,Haines,PAHN,HNS,HNS
PAHO,medium_airport,Homer Airport,59.64559937,-151.477005,84,NA,US,US-AK,Homer,PAHO,HOM,HOM
PAHP,medium_airport,Hooper Bay Airport,61.52389908,-166.1470032,13,NA,US,US-AK,Hooper Bay,PAHP,HPB,HPB
PAHU,small_airport,Hughes Airport,66.04109955,-154.2630005,299,NA,US,US-AK,Hughes,PAHU,HUS,HUS
PAHX,small_airport,Shageluk Airport,62.69229889,-159.5690002,79,NA,US,US-AK,Shageluk,PAHX,SHX,SHX
PAHY,seaplane_base,Hydaburg Seaplane Base,55.20629883,-132.8280029,,NA,US,US-AK,Hydaburg,PAHY,HYG,HYG
PAIG,small_airport,Igiugig Airport,59.32400131,-155.9019928,90,NA,US,US-AK,Igiugig,PAIG,IGG,IGG
PAII,medium_airport,Egegik Airport,58.1855011,-157.375,92,NA,US,US-AK,Egegik,PAII,EGX,EII
PAIK,medium_airport,Bob Baker Memorial Airport,66.97599792,-160.4369965,166,NA,US,US-AK,Kiana,PAIK,IAN,IAN
PAIL,medium_airport,Iliamna Airport,59.75439835,-154.9109955,192,NA,US,US-AK,Iliamna,PAIL,ILI,ILI
PAIM,medium_airport,Indian Mountain LRRS Airport,65.99279785,-153.7039948,1273,NA,US,US-AK,Utopia Creek,PAIM,UTO,UTO
PAIN,small_airport,McKinley National Park Airport,63.73260117,-148.9109955,1720,NA,US,US-AK,McKinley Park,PAIN,MCL,INR
PAIW,small_airport,Wales Airport,65.62259674,-168.0950012,22,NA,US,US-AK,Wales,PAIW,WAA,IWK
PAJN,medium_airport,Juneau International Airport,58.35499954,-134.576004,21,NA,US,US-AK,Juneau,PAJN,JNU,JNU
PAJZ,small_airport,Koliganek Airport,59.72660065,-157.2590027,269,NA,US,US-AK,Koliganek,PAJZ,KGK,JZZ
PAKD,small_airport,Kodiak Municipal Airport,57.80590057,-152.3739929,139,NA,US,US-AK,Kodiak,PAKD,KDK,KDK
PAKF,small_airport,False Pass Airport,54.84740067,-163.4100037,20,NA,US,US-AK,False Pass,PAKF,KFP,KFP
PAKH,small_airport,Akhiok Airport,56.93870163,-154.1829987,44,NA,US,US-AK,Akhiok,PAKH,AKK,AKK
PAKI,small_airport,Kipnuk Airport,59.93299866,-164.0310059,11,NA,US,US-AK,Kipnuk,PAKI,KPN,IIK
